Type,Results
Linear,"[np.float64(-3.516016142305372), np.float64(-3.522420204276441), np.float64(-3.521760335497452), np.float64(-3.530294271700137), np.float64(-3.520778584048753), np.float64(-3.533426166062851), np.float64(-3.5365978991192333), np.float64(-3.5326736077016325), np.float64(-3.548590471952119), np.float64(-3.5425864612534514), np.float64(-3.5476112702851346), np.float64(-3.5496257281367116), np.float64(-3.5581739555477965), np.float64(-3.566741506614006), np.float64(-3.569290192650922), np.float64(-3.5842626678827685), np.float64(-3.5908592490195668), np.float64(-3.6125937516233195), np.float64(-3.610718678953726), np.float64(-3.624216167901347), np.float64(-3.6367731198809836), np.float64(-3.6547655775380434), np.float64(-3.677678908293398), np.float64(-3.685676047668016)]"
Linear,"[np.float64(-3.5222610801868868), np.float64(-3.5216561179611383), np.float64(-3.5209112719018028), np.float64(-3.5176010786649954), np.float64(-3.524216692913811), np.float64(-3.527327089706071), np.float64(-3.532692430519572), np.float64(-3.5358659731431406), np.float64(-3.546365368173019), np.float64(-3.549535634518444), np.float64(-3.5462688185564226), np.float64(-3.555096293951494), np.float64(-3.5575328271327384), np.float64(-3.5635771335509148), np.float64(-3.5668073758440864), np.float64(-3.589308927738516), np.float64(-3.5788577929917986), np.float64(-3.6053280163491026), np.float64(-3.6083313826305092), np.float64(-3.6274711741863825), np.float64(-3.636295797751142), np.float64(-3.65553282586181), np.float64(-3.6635949816140734), np.float64(-3.686162858125674)]"
Linear,"[np.float64(-3.5141299304906597), np.float64(-3.512451186487032), np.float64(-3.5292813319220104), np.float64(-3.5182795472093207), np.float64(-3.5274205046423135), np.float64(-3.5223088802233944), np.float64(-3.520378002551957), np.float64(-3.5358376343448117), np.float64(-3.5364704297657776), np.float64(-3.5353386201934978), np.float64(-3.5461422870490447), np.float64(-3.550134298052656), np.float64(-3.5685784634696414), np.float64(-3.5627019087074325), np.float64(-3.565843038519459), np.float64(-3.581516550331167), np.float64(-3.587999296711627), np.float64(-3.606603481965945), np.float64(-3.606825907697329), np.float64(-3.625241181322327), np.float64(-3.638328650267256), np.float64(-3.6474257037210984), np.float64(-3.671469611260431), np.float64(-3.6856230530950302)]"
Linear,"[np.float64(-3.516075613469685), np.float64(-3.524047420797937), np.float64(-3.522786693095744), np.float64(-3.5220055794265326), np.float64(-3.5295945633398875), np.float64(-3.5270794800128957), np.float64(-3.530248067852229), np.float64(-3.5271087955926004), np.float64(-3.5363318840101856), np.float64(-3.5351664298037804), np.float64(-3.5513616862986144), np.float64(-3.5448249322911), np.float64(-3.5547531491236386), np.float64(-3.5669290985583615), np.float64(-3.5692782874425406), np.float64(-3.5832792989450635), np.float64(-3.601107415603619), np.float64(-3.6025114745792655), np.float64(-3.6173375776922976), np.float64(-3.6304132621963), np.float64(-3.644692490035596), np.float64(-3.650763394877453), np.float64(-3.6732696422420554), np.float64(-3.676851333782926)]"
Linear,"[np.float64(-3.52049931764007), np.float64(-3.5245332270514753), np.float64(-3.522289016691912), np.float64(-3.5227457033181477), np.float64(-3.522276935273108), np.float64(-3.5273578556551524), np.float64(-3.5236317870755376), np.float64(-3.517887653222296), np.float64(-3.5329251994810194), np.float64(-3.5271128718593703), np.float64(-3.5510011284613316), np.float64(-3.548588144416634), np.float64(-3.5624069055269976), np.float64(-3.5676249402426032), np.float64(-3.572618054032441), np.float64(-3.5952900027454002), np.float64(-3.6037429443983937), np.float64(-3.604495486720175), np.float64(-3.6169106801060096), np.float64(-3.6370718380479055), np.float64(-3.6356255642179507), np.float64(-3.6582421475739686), np.float64(-3.666292788497985), np.float64(-3.6775176369827256)]"
Linear,"[np.float64(-3.5229276032486943), np.float64(-3.5286516747851104), np.float64(-3.5201714248476526), np.float64(-3.5258522629992375), np.float64(-3.5367881103416514), np.float64(-3.5307547325892137), np.float64(-3.5305328376252523), np.float64(-3.525836552189645), np.float64(-3.5400109960452024), np.float64(-3.5418453422627856), np.float64(-3.5424837985666158), np.float64(-3.547618633744902), np.float64(-3.5619565221377147), np.float64(-3.5667678925896587), np.float64(-3.5827197023879367), np.float64(-3.5791605361301575), np.float64(-3.578757042181992), np.float64(-3.609227298273557), np.float64(-3.606451218470271), np.float64(-3.6271967869023602), np.float64(-3.650412398369226), np.float64(-3.6513456048526587), np.float64(-3.6623611494926918), np.float64(-3.6844707514778605)]"
Linear,"[np.float64(-3.5218309271869104), np.float64(-3.5266994993980783), np.float64(-3.527768421249723), np.float64(-3.5197702364645966), np.float64(-3.524660775676416), np.float64(-3.522726974689435), np.float64(-3.525794818206174), np.float64(-3.538529915487946), np.float64(-3.5317680781046175), np.float64(-3.551303851990034), np.float64(-3.5462204280198972), np.float64(-3.557253750723051), np.float64(-3.561064989259843), np.float64(-3.5599447438597047), np.float64(-3.58976078539044), np.float64(-3.5831781693150235), np.float64(-3.588681109395531), np.float64(-3.5948910293353835), np.float64(-3.620392170271728), np.float64(-3.6374135667620715), np.float64(-3.6300373202230447), np.float64(-3.6563593249789896), np.float64(-3.6676527058666615), np.float64(-3.6841166721683685)]"
Linear,"[np.float64(-3.5215598502379457), np.float64(-3.525800908160653), np.float64(-3.5195820560467186), np.float64(-3.5195277205266144), np.float64(-3.5124444950602944), np.float64(-3.5227824087859285), np.float64(-3.5358814331937145), np.float64(-3.5319251701921237), np.float64(-3.529606381541551), np.float64(-3.538381741592431), np.float64(-3.5493371892695604), np.float64(-3.5439459591578424), np.float64(-3.5516372932009475), np.float64(-3.5508808402055476), np.float64(-3.571270930792955), np.float64(-3.578001710471673), np.float64(-3.594005004581948), np.float64(-3.611013591201674), np.float64(-3.6099687564217993), np.float64(-3.6253342414765037), np.float64(-3.6368464455626195), np.float64(-3.659888328034893), np.float64(-3.6665310344080515), np.float64(-3.6824190136501356)]"
Linear,"[np.float64(-3.5210562294136087), np.float64(-3.5264429256425975), np.float64(-3.518651847507275), np.float64(-3.526084696354855), np.float64(-3.5193634494194805), np.float64(-3.5203502737077503), np.float64(-3.5209557334346107), np.float64(-3.5335174685989355), np.float64(-3.5276670254283387), np.float64(-3.5418678306432607), np.float64(-3.5449853146562926), np.float64(-3.5428362292920945), np.float64(-3.5640981039358004), np.float64(-3.563494519933708), np.float64(-3.5870064575031053), np.float64(-3.583895099633061), np.float64(-3.5855090318356915), np.float64(-3.615232228704067), np.float64(-3.6264409065819505), np.float64(-3.6316031989768183), np.float64(-3.648509032827847), np.float64(-3.6522782922723067), np.float64(-3.672002467343404), np.float64(-3.6830976240794318)]"
Linear,"[np.float64(-3.5182864115242047), np.float64(-3.52320535058212), np.float64(-3.5264611138665183), np.float64(-3.5211094430748067), np.float64(-3.5329699569634903), np.float64(-3.52081268652797), np.float64(-3.524350188876012), np.float64(-3.537956528292164), np.float64(-3.5381285834495313), np.float64(-3.5384809072790158), np.float64(-3.544310867667906), np.float64(-3.549973267037309), np.float64(-3.559297155261861), np.float64(-3.5711235045011827), np.float64(-3.5684424355464897), np.float64(-3.5841552194499386), np.float64(-3.5967633963799295), np.float64(-3.6076427034367082), np.float64(-3.6204772819872435), np.float64(-3.6348544569146046), np.float64(-3.6341867681969795), np.float64(-3.650456439636522), np.float64(-3.670027744361695), np.float64(-3.683312601018361)]"
