Type,Results
Linear,"[np.float64(-3.1694141439525705), np.float64(-3.1589182627092347), np.float64(-3.155977571597707), np.float64(-3.1729521562344356), np.float64(-3.186033726782112), np.float64(-3.219591215285991), np.float64(-3.2452405614216), np.float64(-3.254647645279052), np.float64(-3.258222412779878), np.float64(-3.311433989466556), np.float64(-3.304047541497706), np.float64(-3.344623534460574), np.float64(-3.3679293482987305), np.float64(-3.3718553577226285), np.float64(-3.398125645308509), np.float64(-3.419384586437948), np.float64(-3.443035428161739), np.float64(-3.4700711015595953), np.float64(-3.503227434431972), np.float64(-3.532050680070995), np.float64(-3.55339588898277), np.float64(-3.5785921416912707), np.float64(-3.60465547684891), np.float64(-3.653815150585732)]"
Linear,"[np.float64(-3.1416871086424276), np.float64(-3.1320304435775794), np.float64(-3.161077365907296), np.float64(-3.14850338583984), np.float64(-3.1983653516497164), np.float64(-3.192753042275359), np.float64(-3.2296822579491415), np.float64(-3.2600945554612952), np.float64(-3.2601915595652553), np.float64(-3.298975896463192), np.float64(-3.313489154652361), np.float64(-3.340986474762433), np.float64(-3.3557676220644783), np.float64(-3.370194307526548), np.float64(-3.4057418842005713), np.float64(-3.4279614327093295), np.float64(-3.4680569155796857), np.float64(-3.477835197513228), np.float64(-3.507788517536902), np.float64(-3.532620514919879), np.float64(-3.5267574892051883), np.float64(-3.574175487143828), np.float64(-3.622212851746019), np.float64(-3.6463725371045026)]"
Linear,"[np.float64(-3.152571180632169), np.float64(-3.1620734370328254), np.float64(-3.1534636133482064), np.float64(-3.1884817916609425), np.float64(-3.183678998950194), np.float64(-3.214846659432336), np.float64(-3.2155398473737087), np.float64(-3.265040313172287), np.float64(-3.274777846880511), np.float64(-3.297184321412516), np.float64(-3.3147396040088353), np.float64(-3.3372989867501346), np.float64(-3.3693316333435153), np.float64(-3.378691201446026), np.float64(-3.4084779852481315), np.float64(-3.415325428830661), np.float64(-3.4456040735643256), np.float64(-3.491154907386992), np.float64(-3.5057290495289006), np.float64(-3.507336585807197), np.float64(-3.5594441063610827), np.float64(-3.6021407503799274), np.float64(-3.6145082205704355), np.float64(-3.6443158324289584)]"
Linear,"[np.float64(-3.164457199238729), np.float64(-3.1346466022151382), np.float64(-3.1542342762321454), np.float64(-3.1758088650381016), np.float64(-3.185511680496333), np.float64(-3.202165660117588), np.float64(-3.2406255602803746), np.float64(-3.255244305489306), np.float64(-3.294894077961226), np.float64(-3.309701668722786), np.float64(-3.3179106570650205), np.float64(-3.3513511865859993), np.float64(-3.360752257432683), np.float64(-3.3744951216237986), np.float64(-3.4059006730304553), np.float64(-3.4248761485678774), np.float64(-3.4496283857400254), np.float64(-3.484645928648927), np.float64(-3.501834993601115), np.float64(-3.5262497268769977), np.float64(-3.550075855459559), np.float64(-3.584252489185321), np.float64(-3.6155335461689138), np.float64(-3.6487871788549864)]"
Linear,"[np.float64(-3.1390224757190595), np.float64(-3.166615100770173), np.float64(-3.1483267537094353), np.float64(-3.174768259971035), np.float64(-3.1867991646677423), np.float64(-3.204985171234643), np.float64(-3.24564744840003), np.float64(-3.251131916727914), np.float64(-3.2748761353538143), np.float64(-3.291433947568118), np.float64(-3.3141821273436314), np.float64(-3.3341606995400053), np.float64(-3.3680628173495144), np.float64(-3.3785617649523267), np.float64(-3.4161764507487433), np.float64(-3.42253806347842), np.float64(-3.4462294472647557), np.float64(-3.4616300632033976), np.float64(-3.483973111208554), np.float64(-3.524306764214584), np.float64(-3.55544125956874), np.float64(-3.5881787066897655), np.float64(-3.6282023857961683), np.float64(-3.6472950803422695)]"
Linear,"[np.float64(-3.1547988416391624), np.float64(-3.1351008838854613), np.float64(-3.1612158920987943), np.float64(-3.1625871478993197), np.float64(-3.183206696811018), np.float64(-3.238006394611686), np.float64(-3.238569126254662), np.float64(-3.2461511490134516), np.float64(-3.2984028117308544), np.float64(-3.3387636956260565), np.float64(-3.3222632427659384), np.float64(-3.3350113968139414), np.float64(-3.354423870002126), np.float64(-3.3786433197108963), np.float64(-3.4006950747137648), np.float64(-3.4265521342816907), np.float64(-3.441205751319897), np.float64(-3.4715649224920426), np.float64(-3.5013619359201567), np.float64(-3.546629097250877), np.float64(-3.580259240023709), np.float64(-3.5913787207339816), np.float64(-3.6095805158805643), np.float64(-3.649645396129566)]"
Linear,"[np.float64(-3.126334527479723), np.float64(-3.1558046151426904), np.float64(-3.160838681033704), np.float64(-3.1834345290746464), np.float64(-3.215149661038083), np.float64(-3.2152539172593855), np.float64(-3.2532225426689827), np.float64(-3.2648035354028675), np.float64(-3.298176762424413), np.float64(-3.3107590155148845), np.float64(-3.332156225670321), np.float64(-3.321473875599855), np.float64(-3.3539343629730265), np.float64(-3.395319894632644), np.float64(-3.40148915298526), np.float64(-3.4227734962562337), np.float64(-3.4660434429015954), np.float64(-3.4623120971688053), np.float64(-3.51006938952008), np.float64(-3.530745890371639), np.float64(-3.5565351707363533), np.float64(-3.592837089368759), np.float64(-3.6232481878978913), np.float64(-3.6521240646560873)]"
Linear,"[np.float64(-3.1384299409552217), np.float64(-3.1636748537862847), np.float64(-3.166936320276333), np.float64(-3.159614136394076), np.float64(-3.1988077401089683), np.float64(-3.2054674900816007), np.float64(-3.2259073675901657), np.float64(-3.251415953637048), np.float64(-3.267537039920052), np.float64(-3.319273821222165), np.float64(-3.304204999918962), np.float64(-3.360838735225551), np.float64(-3.377867742781845), np.float64(-3.3845612104126097), np.float64(-3.4018049333181146), np.float64(-3.411954329592005), np.float64(-3.460398356211467), np.float64(-3.447263536574237), np.float64(-3.5210183799763133), np.float64(-3.512174332425202), np.float64(-3.5648392148405534), np.float64(-3.593323150717529), np.float64(-3.6042932414893993), np.float64(-3.6554046943095972)]"
Linear,"[np.float64(-3.132208182076842), np.float64(-3.159121096998703), np.float64(-3.1469309915038517), np.float64(-3.189760491227524), np.float64(-3.2163476502008344), np.float64(-3.222082001512508), np.float64(-3.2271971109034947), np.float64(-3.256190504388739), np.float64(-3.292262938546461), np.float64(-3.307708960265371), np.float64(-3.314379321701834), np.float64(-3.3171925196608587), np.float64(-3.376882375394997), np.float64(-3.3940113505290626), np.float64(-3.38805953794618), np.float64(-3.420268350560404), np.float64(-3.4583296583978633), np.float64(-3.4918514966453706), np.float64(-3.504945600335809), np.float64(-3.5218106752845912), np.float64(-3.5440031717902887), np.float64(-3.5909469341065954), np.float64(-3.616880464485128), np.float64(-3.6580737702221224)]"
Linear,"[np.float64(-3.118643712677085), np.float64(-3.1396939165912574), np.float64(-3.156265447952288), np.float64(-3.168393939436972), np.float64(-3.2102114501693926), np.float64(-3.2047597842016806), np.float64(-3.242535899739016), np.float64(-3.2401946541613977), np.float64(-3.2804076254245818), np.float64(-3.3120311334561983), np.float64(-3.2948626140327377), np.float64(-3.322489256756109), np.float64(-3.351755308667663), np.float64(-3.3994966298538962), np.float64(-3.4093592820295413), np.float64(-3.4268162426002267), np.float64(-3.463931393310638), np.float64(-3.4761116482149212), np.float64(-3.4936485526334007), np.float64(-3.533308802784072), np.float64(-3.5543697170708395), np.float64(-3.5826751181730234), np.float64(-3.6228675996708493), np.float64(-3.653491031011635)]"
Nonlinear,"[np.float64(-3.1111679257209346), np.float64(-3.152073935273716), np.float64(-3.15867894568062), np.float64(-3.176249883269562), np.float64(-3.2134346733576677), np.float64(-3.2153880090967233), np.float64(-3.2564672911271657), np.float64(-3.2460413728498736), np.float64(-3.2449696078719557), np.float64(-3.323374408399715), np.float64(-3.327766085782713), np.float64(-3.3604723056531327), np.float64(-3.369443952384245), np.float64(-3.394528306207455), np.float64(-3.4141876911235514), np.float64(-3.4224086486793226), np.float64(-3.4523576604578565), np.float64(-3.4541251186254343), np.float64(-3.516687341528403), np.float64(-3.523234987599249), np.float64(-3.5580103264226324), np.float64(-3.5862577138182132), np.float64(-3.6354144584051937), np.float64(-3.6477937249231758)]"
Nonlinear,"[np.float64(-3.1356201167704967), np.float64(-3.1508944897904456), np.float64(-3.1852278618179355), np.float64(-3.1910793367490555), np.float64(-3.1963213534561437), np.float64(-3.2099661628672997), np.float64(-3.243113541378994), np.float64(-3.2710585271936523), np.float64(-3.268768343824971), np.float64(-3.3088763362811413), np.float64(-3.3050392771288273), np.float64(-3.3581890282439844), np.float64(-3.3610723798410618), np.float64(-3.389459109093032), np.float64(-3.4111168642571457), np.float64(-3.4338264963256364), np.float64(-3.4578873342189205), np.float64(-3.482425253279203), np.float64(-3.502179500604697), np.float64(-3.5328993458487616), np.float64(-3.569429478790486), np.float64(-3.588394137154843), np.float64(-3.626733556461197), np.float64(-3.6530989385292116)]"
Nonlinear,"[np.float64(-3.1319541951641554), np.float64(-3.162089029499512), np.float64(-3.1895838127967124), np.float64(-3.1897308980561228), np.float64(-3.206581930227408), np.float64(-3.2268738172909863), np.float64(-3.24169456274452), np.float64(-3.2524462419928843), np.float64(-3.2934155343822376), np.float64(-3.301066703227093), np.float64(-3.3268084009398393), np.float64(-3.3485555919237306), np.float64(-3.361929534061911), np.float64(-3.411814282514925), np.float64(-3.4221891162378313), np.float64(-3.4223025077348836), np.float64(-3.441995891805192), np.float64(-3.495287837603044), np.float64(-3.5103853236683875), np.float64(-3.534411375512647), np.float64(-3.550888328380509), np.float64(-3.5874540412815605), np.float64(-3.618798219131321), np.float64(-3.643859324656958)]"
Nonlinear,"[np.float64(-3.150885512615872), np.float64(-3.1533873399453114), np.float64(-3.176331535437143), np.float64(-3.2003785070651816), np.float64(-3.2290993585667565), np.float64(-3.2192338029179695), np.float64(-3.2130389275119313), np.float64(-3.2736979216059154), np.float64(-3.2825997791368593), np.float64(-3.312563889948996), np.float64(-3.32722813147668), np.float64(-3.327477540944404), np.float64(-3.359809239488098), np.float64(-3.3824463788025376), np.float64(-3.3902704643891504), np.float64(-3.4194069373103986), np.float64(-3.458675899220772), np.float64(-3.5113889556891458), np.float64(-3.4895232832141687), np.float64(-3.5288119744497664), np.float64(-3.55800508954632), np.float64(-3.594532726149552), np.float64(-3.622601810666467), np.float64(-3.651789431940955)]"
Nonlinear,"[np.float64(-3.1227432662657293), np.float64(-3.1703217673442623), np.float64(-3.179501903114655), np.float64(-3.185569537894615), np.float64(-3.2040135290607346), np.float64(-3.237136300344474), np.float64(-3.2295739281883407), np.float64(-3.2728605264926784), np.float64(-3.3008450290124998), np.float64(-3.2988365924562686), np.float64(-3.3238281299808037), np.float64(-3.334963074906497), np.float64(-3.368438440894843), np.float64(-3.3620897588509564), np.float64(-3.397034019147296), np.float64(-3.4503632008761684), np.float64(-3.434577501311047), np.float64(-3.4746911706376977), np.float64(-3.5067362928915813), np.float64(-3.547074281821466), np.float64(-3.5667964252571593), np.float64(-3.5727464297748526), np.float64(-3.6307480789363673), np.float64(-3.655746143319874)]"
Nonlinear,"[np.float64(-3.129533567000948), np.float64(-3.149171158874424), np.float64(-3.166122192191061), np.float64(-3.195462358186205), np.float64(-3.2115388917179217), np.float64(-3.213222623416386), np.float64(-3.2494194756198382), np.float64(-3.257018839274835), np.float64(-3.2995805149068502), np.float64(-3.306922494201615), np.float64(-3.2983312160515244), np.float64(-3.3372686274743124), np.float64(-3.349064454712689), np.float64(-3.3938958801277153), np.float64(-3.378845982822348), np.float64(-3.4450517627788244), np.float64(-3.466955817635153), np.float64(-3.471148903581021), np.float64(-3.526234952675253), np.float64(-3.515656377419468), np.float64(-3.5614263508436608), np.float64(-3.5714804183136124), np.float64(-3.6103866549909966), np.float64(-3.6544868648999405)]"
Nonlinear,"[np.float64(-3.1168927145086514), np.float64(-3.158215028044708), np.float64(-3.1489852007401056), np.float64(-3.1920559913486173), np.float64(-3.2167137716552787), np.float64(-3.224175799983019), np.float64(-3.2281310959283402), np.float64(-3.258148708700393), np.float64(-3.2662740278592493), np.float64(-3.3079741903350737), np.float64(-3.317201701713003), np.float64(-3.3238573511303304), np.float64(-3.3639007103381857), np.float64(-3.3803092772413805), np.float64(-3.395975181519997), np.float64(-3.462431002692476), np.float64(-3.4512362927950235), np.float64(-3.4672143522648184), np.float64(-3.517304243698277), np.float64(-3.524816510878111), np.float64(-3.5562083754819938), np.float64(-3.5958798519155195), np.float64(-3.611474440272147), np.float64(-3.656197826691546)]"
Nonlinear,"[np.float64(-3.141192270496248), np.float64(-3.164506900782925), np.float64(-3.150506843366543), np.float64(-3.1861470024071252), np.float64(-3.226344930924313), np.float64(-3.2336670531115743), np.float64(-3.23142009660609), np.float64(-3.267854850577246), np.float64(-3.2607873437074293), np.float64(-3.2821437656149115), np.float64(-3.3060973189284226), np.float64(-3.367979469230793), np.float64(-3.3542020546184546), np.float64(-3.3822439588383872), np.float64(-3.4170055516797966), np.float64(-3.459358580965649), np.float64(-3.4714013565913575), np.float64(-3.4742885328064403), np.float64(-3.516923386567754), np.float64(-3.5234119078657216), np.float64(-3.55464351646021), np.float64(-3.595384651863313), np.float64(-3.609907186385854), np.float64(-3.6511027954821316)]"
