delta,std
0.19339453302951082,1.7157299120609956e-13
0.19271341177226908,0.002626080726786238
0.191078374691807,0.002896597605717527
0.18714338562709099,0.0034357842020533345
0.18227984499588912,0.004105728473028638
0.17660871131682976,0.004342889401443505
0.16946360900678314,0.0055269114661516145
0.16138789663085484,0.007502184678865012
0.15106555687288337,0.00728473730258946
0.13961666748004298,0.009428367633254067
0.12484206225385641,0.009847293301471695
0.11028755858550099,0.009994282346214215
0.09161573868820883,0.01393405608948207
0.07078592298671538,0.01492279486407365
0.04878001133387899,0.015524587889993363
0.02690093862128018,0.011781894146544025
0.008425250389842986,8.006137034211501e-13
