delta,std
0.19339487389572652,8.58665720832174e-07
0.17328388203326206,8.36627408291069e-08
0.15311709027938436,0.0003579065173503119
0.13137632603137828,0.0035211232802076914
0.12878224427607066,0.0024159196760200545
0.11467219305394005,0.005553781178663743
0.06534875638776594,0.03384563437663485
0.03961896391753994,0.025246597293336413
0.02542622146616358,0.01562500975518162
0.024766562836315842,0.01570895656374084
0.025212931066755928,0.011304419241682339
0.0005148472904248358,0.002405109808121117
0.00019621022647919872,0.0005364990260164457
3.151853042426822e-05,0.0001499370686900208
7.319568457830883e-05,0.0
0.0003565272361782945,0.0
0.008422450305303641,0.0
