Type,Results
Linear,"[np.float64(-3.4174283105564394), np.float64(-3.439517362147801), np.float64(-3.4643977433095268), np.float64(-3.483177130575779), np.float64(-3.510889716005532), np.float64(-3.533133097645843), np.float64(-3.5534522220023987), np.float64(-3.572697263467777), np.float64(-3.5764050356179062), np.float64(-3.601385974409168), np.float64(-3.622440854660951), np.float64(-3.641372271284145), np.float64(-3.652336652861985), np.float64(-3.664471145804086), np.float64(-3.680989097006565)]"
Linear,"[np.float64(-3.4174283116072397), np.float64(-3.443578996611528), np.float64(-3.4633321646155), np.float64(-3.4801448002908018), np.float64(-3.5037656322056403), np.float64(-3.5288071508432717), np.float64(-3.5466620074380772), np.float64(-3.5575380574155995), np.float64(-3.5789960420902087), np.float64(-3.601484370636606), np.float64(-3.6190029482734216), np.float64(-3.630950507972087), np.float64(-3.6525687763191215), np.float64(-3.6658974700836424), np.float64(-3.6809890980325353)]"
Linear,"[np.float64(-3.4174283044360805), np.float64(-3.443719028451617), np.float64(-3.4611517034840826), np.float64(-3.476347310084418), np.float64(-3.499691975096555), np.float64(-3.5289103135321715), np.float64(-3.545506546202448), np.float64(-3.563055134157551), np.float64(-3.5812859493423455), np.float64(-3.6000486750572183), np.float64(-3.613773649433055), np.float64(-3.634363880971578), np.float64(-3.6543434333001192), np.float64(-3.6645580182268045), np.float64(-3.6809890987276876)]"
Linear,"[np.float64(-3.4174283051271273), np.float64(-3.4352046227654247), np.float64(-3.4735807748229357), np.float64(-3.4957057225155133), np.float64(-3.5184939716340153), np.float64(-3.524789049002634), np.float64(-3.557065029085395), np.float64(-3.568839238535608), np.float64(-3.5712759261135893), np.float64(-3.595150847535603), np.float64(-3.610206651771266), np.float64(-3.6397741887139965), np.float64(-3.6531935875759194), np.float64(-3.665798412654974), np.float64(-3.680989103038897)]"
Linear,"[np.float64(-3.4174283058088095), np.float64(-3.43776157189222), np.float64(-3.473829815862155), np.float64(-3.473938643786706), np.float64(-3.508954951984875), np.float64(-3.5213658739457676), np.float64(-3.539015147378172), np.float64(-3.5545360151600827), np.float64(-3.5784383785606124), np.float64(-3.6017382458168647), np.float64(-3.6185932963932625), np.float64(-3.6399330304082165), np.float64(-3.643965903141103), np.float64(-3.661615786973597), np.float64(-3.680989102122636)]"
Linear,"[np.float64(-3.417428298676697), np.float64(-3.4331213189285386), np.float64(-3.4548661391096145), np.float64(-3.4877331319499296), np.float64(-3.5014588938837825), np.float64(-3.5329731773714084), np.float64(-3.5493850996581315), np.float64(-3.5500799659182434), np.float64(-3.5824040743749084), np.float64(-3.5931561611263874), np.float64(-3.613055367477589), np.float64(-3.6366291074093073), np.float64(-3.647883546574901), np.float64(-3.6707852396364933), np.float64(-3.6809890988379292)]"
Linear,"[np.float64(-3.4174283190740753), np.float64(-3.42365466899554), np.float64(-3.4493131422806056), np.float64(-3.4996711508077727), np.float64(-3.5005618820177924), np.float64(-3.523213887450048), np.float64(-3.5488104867300105), np.float64(-3.5633137460268696), np.float64(-3.5768484636767024), np.float64(-3.601303378767807), np.float64(-3.611169840505286), np.float64(-3.62738654530387), np.float64(-3.6425791094325), np.float64(-3.6619024968492457), np.float64(-3.680989097607821)]"
Linear,"[np.float64(-3.417428308010803), np.float64(-3.4457195808622636), np.float64(-3.454666570990603), np.float64(-3.4872711219356054), np.float64(-3.5071058226568237), np.float64(-3.5308454277599797), np.float64(-3.543736831103515), np.float64(-3.551237396414648), np.float64(-3.5857652339387807), np.float64(-3.6075797062005925), np.float64(-3.6108414276988947), np.float64(-3.635096055854647), np.float64(-3.6399948876524473), np.float64(-3.6643555004667263), np.float64(-3.680989099654207)]"
Linear,"[np.float64(-3.4174283190740753), np.float64(-3.440602243500284), np.float64(-3.469822240346833), np.float64(-3.4840753404704126), np.float64(-3.518347821620357), np.float64(-3.530534205037543), np.float64(-3.52657737535708), np.float64(-3.553882797499556), np.float64(-3.574211461394431), np.float64(-3.5971538265590155), np.float64(-3.616976062592218), np.float64(-3.6256684197516096), np.float64(-3.643834197120597), np.float64(-3.663908238007547), np.float64(-3.6809890954935724)]"
Linear,"[np.float64(-3.4174283157996017), np.float64(-3.4418252378076204), np.float64(-3.44969227178699), np.float64(-3.482985508031148), np.float64(-3.4960254692484884), np.float64(-3.5295911029171405), np.float64(-3.5468634654441704), np.float64(-3.5662043830741332), np.float64(-3.581747052401063), np.float64(-3.6080146272050513), np.float64(-3.6238717807858727), np.float64(-3.635144237857727), np.float64(-3.649967471551375), np.float64(-3.666597898242191), np.float64(-3.680989101321564)]"
Nonlinear,"[np.float64(-3.437400162929091), np.float64(-3.4590523015030232), np.float64(-3.4786759020393703), np.float64(-3.49951401283694), np.float64(-3.5301973091913936), np.float64(-3.549299209250634), np.float64(-3.571775376525956), np.float64(-3.571155856564225), np.float64(-3.594183946648821), np.float64(-3.606148640968402), np.float64(-3.619645061331509), np.float64(-3.6401771903264537), np.float64(-3.657088038331853), np.float64(-3.6606993549627895), np.float64(-3.6839710671811368)]"
Nonlinear,"[np.float64(-3.437400154138288), np.float64(-3.4673106141353642), np.float64(-3.480368638433749), np.float64(-3.511066465266863), np.float64(-3.5215912747726), np.float64(-3.5372327775385797), np.float64(-3.5536209410018866), np.float64(-3.5807070749012384), np.float64(-3.5983238012447023), np.float64(-3.61050621292127), np.float64(-3.631005450662104), np.float64(-3.6345581210115676), np.float64(-3.659234990624196), np.float64(-3.6671027841418273), np.float64(-3.6839710762608697)]"
Nonlinear,"[np.float64(-3.4374002447577965), np.float64(-3.4561926770796987), np.float64(-3.480385832142373), np.float64(-3.4991971823928587), np.float64(-3.519986981477734), np.float64(-3.5356798471843796), np.float64(-3.5813475522227094), np.float64(-3.579358014340354), np.float64(-3.5871474339765124), np.float64(-3.6086680631427144), np.float64(-3.633215179520751), np.float64(-3.644944717926058), np.float64(-3.649598406259856), np.float64(-3.6675625524758875), np.float64(-3.6839710572662128)]"
Nonlinear,"[np.float64(-3.4374002312211402), np.float64(-3.450922179226792), np.float64(-3.4633652836775095), np.float64(-3.509685732514889), np.float64(-3.5211185553860913), np.float64(-3.5345441512238622), np.float64(-3.556451938389273), np.float64(-3.5787638165128683), np.float64(-3.6006146679055675), np.float64(-3.6063510967782), np.float64(-3.6251522081578944), np.float64(-3.6478217948507137), np.float64(-3.6582149297263715), np.float64(-3.6666205721296006), np.float64(-3.68397107586627)]"
Nonlinear,"[np.float64(-3.4374002040500535), np.float64(-3.4831316191272563), np.float64(-3.4826283256216595), np.float64(-3.4920003857671045), np.float64(-3.5213718263393874), np.float64(-3.5373752509646295), np.float64(-3.5697585913908956), np.float64(-3.5841669881675315), np.float64(-3.5996294217630425), np.float64(-3.6147811193083568), np.float64(-3.6320147308390016), np.float64(-3.645480992338908), np.float64(-3.6530143910805997), np.float64(-3.666112917125144), np.float64(-3.6839710629495785)]"
Nonlinear,"[np.float64(-3.4374002921867017), np.float64(-3.4666562755424657), np.float64(-3.483413789551804), np.float64(-3.4924921058911496), np.float64(-3.536862879923394), np.float64(-3.549058503744023), np.float64(-3.5645935327394707), np.float64(-3.587626566151565), np.float64(-3.606186932542097), np.float64(-3.605975510893828), np.float64(-3.632333596328219), np.float64(-3.6368806795271307), np.float64(-3.6486057156050253), np.float64(-3.664824532519798), np.float64(-3.683971070852895)]"
Nonlinear,"[np.float64(-3.4374002186989934), np.float64(-3.4561223020273246), np.float64(-3.4871385431951882), np.float64(-3.499859328862745), np.float64(-3.5275664394068276), np.float64(-3.5508441959114734), np.float64(-3.568528006103559), np.float64(-3.5771494245798596), np.float64(-3.601392764287529), np.float64(-3.611114920181091), np.float64(-3.6255837829823774), np.float64(-3.6541764687440326), np.float64(-3.65478474621737), np.float64(-3.660822359523394), np.float64(-3.6839710723702885)]"
Nonlinear,"[np.float64(-3.4374001991298506), np.float64(-3.455806141855028), np.float64(-3.47423585017966), np.float64(-3.500570526700299), np.float64(-3.525675101806682), np.float64(-3.547911063841674), np.float64(-3.5523411950353054), np.float64(-3.576851106505), np.float64(-3.60357847100308), np.float64(-3.6079082931794204), np.float64(-3.6174198692200195), np.float64(-3.63968688044314), np.float64(-3.6540900845626276), np.float64(-3.6718249401476557), np.float64(-3.6839710848089293)]"
Nonlinear,"[np.float64(-3.4374001706880826), np.float64(-3.468734227926639), np.float64(-3.484411348981462), np.float64(-3.510486110682166), np.float64(-3.518025645986153), np.float64(-3.543188491480734), np.float64(-3.558820998708418), np.float64(-3.5798086270542626), np.float64(-3.58908731911884), np.float64(-3.6241086624676937), np.float64(-3.620792621262873), np.float64(-3.6403038238244534), np.float64(-3.6572335111105065), np.float64(-3.6694821271592972), np.float64(-3.683971048601974)]"
Nonlinear,"[np.float64(-3.437400275852692), np.float64(-3.4626618260190583), np.float64(-3.4938700789887935), np.float64(-3.4999470244044257), np.float64(-3.522918709629126), np.float64(-3.5507011969191424), np.float64(-3.5593643302676323), np.float64(-3.5686358509305265), np.float64(-3.597642153443725), np.float64(-3.6063339823482528), np.float64(-3.6154088744534825), np.float64(-3.641593428155864), np.float64(-3.6527432203121935), np.float64(-3.6707804089700806), np.float64(-3.683971055868594)]"
Nonlinear,"[np.float64(-3.4374001220692527), np.float64(-3.4573022763609647), np.float64(-3.4793896751381794), np.float64(-3.505044886499329), np.float64(-3.533775182400193), np.float64(-3.5550968330067825), np.float64(-3.570095483253173), np.float64(-3.588641140049912), np.float64(-3.5883486750031954), np.float64(-3.609230483072123), np.float64(-3.6306233109155444), np.float64(-3.651041059316868), np.float64(-3.6599443810613828), np.float64(-3.667364223003473), np.float64(-3.683971065956925)]"
Nonlinear,"[np.float64(-3.437400203915775), np.float64(-3.466661034986057), np.float64(-3.4791663006093625), np.float64(-3.4969462551757147), np.float64(-3.5283016790486244), np.float64(-3.546824741506774), np.float64(-3.567052027534938), np.float64(-3.5753886444173313), np.float64(-3.5900744374050926), np.float64(-3.61715489645805), np.float64(-3.628790923431233), np.float64(-3.637151473227849), np.float64(-3.6585896359541725), np.float64(-3.672508353128186), np.float64(-3.6839710681457793)]"
Nonlinear,"[np.float64(-3.4374002935138854), np.float64(-3.4615525074791407), np.float64(-3.47920783750401), np.float64(-3.4936648438208904), np.float64(-3.5225189504809205), np.float64(-3.5445240191167766), np.float64(-3.5632564349712768), np.float64(-3.5940506578662017), np.float64(-3.5943260253220677), np.float64(-3.6103898144455693), np.float64(-3.6224854505736532), np.float64(-3.641261345236509), np.float64(-3.6611009075692253), np.float64(-3.6688254242514478), np.float64(-3.683971066060378)]"
Nonlinear,"[np.float64(-3.437400187151354), np.float64(-3.458145351899521), np.float64(-3.4935503686079397), np.float64(-3.514543660971203), np.float64(-3.5399270508957574), np.float64(-3.539106205624595), np.float64(-3.5788601262987996), np.float64(-3.5806744843955403), np.float64(-3.58084039043146), np.float64(-3.604443460023869), np.float64(-3.6226332171549798), np.float64(-3.648652830104025), np.float64(-3.6657775100357606), np.float64(-3.6677869105057015), np.float64(-3.68397105623454)]"
Nonlinear,"[np.float64(-3.4374002019989582), np.float64(-3.4626029443001975), np.float64(-3.4895561402468003), np.float64(-3.4967992175698104), np.float64(-3.5296878946458925), np.float64(-3.542333240012681), np.float64(-3.5541820819178342), np.float64(-3.5717592047886155), np.float64(-3.5949852842686196), np.float64(-3.6131250846970753), np.float64(-3.6288140492864738), np.float64(-3.6506387986145743), np.float64(-3.650120640060087), np.float64(-3.666454279031501), np.float64(-3.6839710659357325)]"
Nonlinear,"[np.float64(-3.437400225230281), np.float64(-3.4492317172348024), np.float64(-3.4693090006127703), np.float64(-3.504680736830739), np.float64(-3.5286504932789278), np.float64(-3.551157084140483), np.float64(-3.564395629559314), np.float64(-3.5673766692906606), np.float64(-3.594191961872077), np.float64(-3.6003054319865804), np.float64(-3.6235605542808313), np.float64(-3.646462379359437), np.float64(-3.6536858458480754), np.float64(-3.676252787775181), np.float64(-3.6839710703742354)]"
Nonlinear,"[np.float64(-3.4374001652188397), np.float64(-3.4483548754392714), np.float64(-3.4653728372013974), np.float64(-3.5167898269669386), np.float64(-3.5249636415015786), np.float64(-3.5378388571882997), np.float64(-3.5585906896818473), np.float64(-3.5736016045189403), np.float64(-3.5942290488241078), np.float64(-3.614771580475951), np.float64(-3.6229877610497505), np.float64(-3.6337337098615112), np.float64(-3.6477657886846826), np.float64(-3.6677408346240794), np.float64(-3.683971078320971)]"
Nonlinear,"[np.float64(-3.4374001943400856), np.float64(-3.4686104041638117), np.float64(-3.4802545533870326), np.float64(-3.50099319529782), np.float64(-3.52672175143066), np.float64(-3.5443248299808516), np.float64(-3.5619307671456566), np.float64(-3.573751185848981), np.float64(-3.600008542988495), np.float64(-3.62045336095251), np.float64(-3.6190359072551623), np.float64(-3.6423028035747436), np.float64(-3.6463637219843608), np.float64(-3.668357598427457), np.float64(-3.6839710628042814)]"
Nonlinear,"[np.float64(-3.4374002269445896), np.float64(-3.4618549758209483), np.float64(-3.493474113615413), np.float64(-3.5042975923834767), np.float64(-3.5341855909508464), np.float64(-3.552660864182025), np.float64(-3.547732886059764), np.float64(-3.5715692770549126), np.float64(-3.58870926928597), np.float64(-3.6085487743433378), np.float64(-3.627413369403037), np.float64(-3.633125679066736), np.float64(-3.646875782730607), np.float64(-3.668761674236438), np.float64(-3.6839710440386533)]"
Nonlinear,"[np.float64(-3.4374002632400398), np.float64(-3.4566243511312855), np.float64(-3.470858440122967), np.float64(-3.5010566085081543), np.float64(-3.5225682404322143), np.float64(-3.5414445269476165), np.float64(-3.560932628887479), np.float64(-3.5856009290501225), np.float64(-3.5958131026213103), np.float64(-3.622005918809972), np.float64(-3.6329139480084085), np.float64(-3.6405057774978786), np.float64(-3.657100626723454), np.float64(-3.6713692739801047), np.float64(-3.683971054254761)]"
