Type,Results
Linear,"[np.float64(-3.4174282963565186), np.float64(-3.4436730281171), np.float64(-3.4539421924746305), np.float64(-3.480310130239305), np.float64(-3.5076028304442914), np.float64(-3.5300485038257197), np.float64(-3.544230981559643), np.float64(-3.5546483873618957), np.float64(-3.5869554880435377), np.float64(-3.5951526108467844), np.float64(-3.609698630208241), np.float64(-3.631000175629695), np.float64(-3.6501956961920303), np.float64(-3.659953315031389), np.float64(-3.6809890986348393)]"
Linear,"[np.float64(-3.4174283090542095), np.float64(-3.4455695355113845), np.float64(-3.4628390653541716), np.float64(-3.4934636399835686), np.float64(-3.504885742123694), np.float64(-3.518931554476482), np.float64(-3.5318538724986146), np.float64(-3.5655652340332873), np.float64(-3.584507875393003), np.float64(-3.594745533497499), np.float64(-3.6188162205676724), np.float64(-3.6280352614984777), np.float64(-3.6520742324250284), np.float64(-3.664405903344867), np.float64(-3.6809890996834573)]"
Linear,"[np.float64(-3.4174283032250727), np.float64(-3.4383819012443597), np.float64(-3.46374481998353), np.float64(-3.4807813951876794), np.float64(-3.5035464170729567), np.float64(-3.519020624534849), np.float64(-3.5630085651509313), np.float64(-3.5634082368566036), np.float64(-3.5699980245891583), np.float64(-3.5994681268073077), np.float64(-3.625537142600404), np.float64(-3.631550529945483), np.float64(-3.643598402881583), np.float64(-3.66661520901693), np.float64(-3.680989097476214)]"
Linear,"[np.float64(-3.4174283076755607), np.float64(-3.435683543375264), np.float64(-3.4497931901771572), np.float64(-3.493166706439551), np.float64(-3.5042579480918654), np.float64(-3.517959068690651), np.float64(-3.5420436832444135), np.float64(-3.5596886296570833), np.float64(-3.583890611333251), np.float64(-3.5976113548858537), np.float64(-3.620411741162828), np.float64(-3.6393079745280073), np.float64(-3.6493057502828776), np.float64(-3.6639144581519982), np.float64(-3.6809891002511756)]"
Linear,"[np.float64(-3.41742831231401), np.float64(-3.4550030789093507), np.float64(-3.4627649472828033), np.float64(-3.4747361335270517), np.float64(-3.5008873353840197), np.float64(-3.522100728605375), np.float64(-3.552085649776706), np.float64(-3.5684660546271294), np.float64(-3.586724219684436), np.float64(-3.6028908418132133), np.float64(-3.6156639758085447), np.float64(-3.6365951878368286), np.float64(-3.6470529077883462), np.float64(-3.6603617948172857), np.float64(-3.6809890989438383)]"
Linear,"[np.float64(-3.4174283191862775), np.float64(-3.445556667797227), np.float64(-3.463380524259164), np.float64(-3.475653578959264), np.float64(-3.514394281993586), np.float64(-3.5337824598408787), np.float64(-3.545155267328205), np.float64(-3.566503620687775), np.float64(-3.5925836332191228), np.float64(-3.59662951263517), np.float64(-3.615885441490593), np.float64(-3.632325306596183), np.float64(-3.6430367509551775), np.float64(-3.6627399567042875), np.float64(-3.6809890968821257)]"
Linear,"[np.float64(-3.417428319312137), np.float64(-3.4372280918077163), np.float64(-3.4663836045764933), np.float64(-3.4807010378974326), np.float64(-3.507703119976809), np.float64(-3.5232811253095475), np.float64(-3.5505011087526146), np.float64(-3.5634610169018544), np.float64(-3.585943366953491), np.float64(-3.598940916215497), np.float64(-3.6149357280303844), np.float64(-3.642483117500805), np.float64(-3.6500583495345786), np.float64(-3.6582900502901046), np.float64(-3.6809890979644697)]"
Linear,"[np.float64(-3.4174283103024163), np.float64(-3.437914519564601), np.float64(-3.4545537949850975), np.float64(-3.481171521300017), np.float64(-3.498887498464309), np.float64(-3.5264424483232215), np.float64(-3.5376994636960015), np.float64(-3.557091558128316), np.float64(-3.584795399811048), np.float64(-3.5959094585467515), np.float64(-3.60748402447157), np.float64(-3.6299263490088185), np.float64(-3.6491936500295186), np.float64(-3.66785483617757), np.float64(-3.6809891010341627)]"
Linear,"[np.float64(-3.417428317007398), np.float64(-3.442404428668194), np.float64(-3.46622368642496), np.float64(-3.48950946119189), np.float64(-3.5002767127286454), np.float64(-3.5175156514935155), np.float64(-3.5415239339042044), np.float64(-3.5589187377359277), np.float64(-3.574752510688758), np.float64(-3.609327258127256), np.float64(-3.6101779901989843), np.float64(-3.6338915457746346), np.float64(-3.65264986989267), np.float64(-3.6678775306050024), np.float64(-3.680989097609517)]"
Linear,"[np.float64(-3.417428320535686), np.float64(-3.438188632592909), np.float64(-3.4776137442895063), np.float64(-3.4792588975605536), np.float64(-3.50143519317227), np.float64(-3.537456648691804), np.float64(-3.5408663825259215), np.float64(-3.556064260821292), np.float64(-3.5847288868942195), np.float64(-3.591739348876951), np.float64(-3.6099171615184025), np.float64(-3.635794951620447), np.float64(-3.6429599373201604), np.float64(-3.6665535531863434), np.float64(-3.680989098209232)]"
