delta,std
9357.118689090004,8.870060624706762e-10
1988605424135.4663,23395874475259.61
0.20615235100566176,0.1420189132870592
0.17262108556081257,0.20524254726350466
0.16075530915393887,0.12336782840757167
0.1310352923488205,0.07350031019932075
0.12803167156498052,0.05090099111998812
0.11508085328338336,0.03813426415459874
0.10296349015385875,0.028026347016562137
0.09214899652050734,0.02084940474298111
0.07879870678116685,0.015468955464169425
0.07021287340823568,0.010678521679494691
0.06354723581094568,0.008943154423809033
0.05547320610472717,0.0077407746992206525
0.04889146653318788,0.00679848177469842
0.042570971305945005,0.0057805840202748504
0.03725157818295166,0.0048760292335954655
0.03255236691536423,0.0040916433111641785
0.02797627741754427,0.0031431517275823852
0.023690923949743148,0.0029805280842977867
0.019758984935224877,0.0024110752249653917
0.01668812393556074,0.0018339296777680196
0.013744111663173353,0.001480759282804349
0.011050784122592638,0.001131724032818008
0.009967482591087151,0.0009631625405399013
0.009836731528478193,0.0009477800325827143
