delta,std
10.15097190764313,18.254352435986124
4.211822117690875,6.308285595612034
2.8476373979198466,3.474217165216307
2.2517929497989253,2.8249995871603253
2.0410675442419763,2.510533400421329
1.903174568830459,2.2985203935980216
1.6785532733786834,2.049408981858423
1.555523329648903,1.9300439344242006
1.5272720877748032,1.83472599949411
1.360517992001216,1.6740704703702158
1.2586859847726435,1.5328285460697442
1.201996014576176,1.4739784789310453
1.2036734016840398,1.5114026602383341
1.1274730709798286,1.4026666211312273
1.0724967420806337,1.3368238620617228
1.053377032947504,1.3093354730476705
0.9792830371171793,1.2284654199538338
0.9509937741983826,1.204601653347
0.926143466011345,1.1784483139580058
0.9088373189799402,1.147548349896115
0.870086139884425,1.109236225509007
0.8013615085128459,1.0186995082949721
0.7621680717280371,0.975600744579153
0.7121134408694165,0.9164428802722843
0.7029054229173077,0.8999602007360624
0.6967832117477741,0.8927043847814794
0.6981850501958646,0.8967848298065619
0.6904026395774677,0.8809303561159728
0.6503851782665712,0.8365849437433353
0.6406508942916735,0.8184167260100017
0.6426223221891688,0.8275836365399833
0.6091637368151326,0.7941014420169632
0.5950997659704381,0.7769784295242221
0.5748364216462705,0.7643120770157896
0.5444828156055909,0.7256010714350004
0.5422328640827845,0.7159901240941399
0.5448326764253673,0.7087891226819047
0.5348164372143515,0.6930293575683352
0.5439868812957381,0.6865301292704067
0.5465814518089787,0.6872139908595943
0.5374721448990837,0.6775049042656002
0.555936680574354,0.7054387354648181
0.5426456720171882,0.6914643051546823
0.534902051975994,0.676786884469793
0.5444618238192338,0.6867345204363241
0.5461722066924848,0.6948352221336636
0.5457712738041849,0.6884194971911791
0.5312627441909487,0.673730144388082
0.5203035329246483,0.6595742013436916
0.5295109575350455,0.6648739062689181
0.5246742122043857,0.654440179035481
0.520258460478546,0.6494841016974369
0.5039045609670698,0.6344926049328768
0.49676745938679706,0.6298783545580449
0.504984956720444,0.6356560126493039
0.49672806064695973,0.6355867603115737
0.48079794345443977,0.6204554311062784
0.47577892228362745,0.6185771462500682
0.4851687915546972,0.6199757076395809
0.4698340116156971,0.5982194521027042
0.47110365158196954,0.5959441423740949
0.4580160321932942,0.5856874219741174
0.4545005267352408,0.58402751936339
0.4551090888506835,0.5798941934152816
0.4570646115290991,0.5793088862268655
0.4527521265504679,0.5651110970860795
0.4517296499296769,0.564381999388316
0.4491415295696674,0.5645410034025587
0.4277023007748888,0.542908408535127
0.4286180138153188,0.5409475368179729
0.42715724940185446,0.530259745317783
0.4191673246530776,0.5245394733222998
0.4168789682405755,0.5233517410529943
0.41435971324012605,0.5208348618479481
0.4200790266831563,0.5259885358968126
0.4203803562431761,0.5293755828339018
0.4081385513499899,0.5203028091335387
0.40855143798849014,0.516944881350302
0.41380522509254575,0.523633426894352
0.40884137058080783,0.519469986628823
0.404976103969331,0.5151908775854892
0.40068727063764586,0.5164488532123886
0.40146877267428666,0.5181593972357009
0.39509003524783765,0.5073977616378592
0.3893248470759603,0.49950776673887576
0.39563102857567706,0.4965587875398012
0.39507568286946115,0.49533954908180017
0.39674371904200006,0.497549763614781
0.39606588052737624,0.5040211942915676
0.3962793523013685,0.5010501563222918
0.3940263715543739,0.5016612447373084
0.38547920384927237,0.49412171076883354
0.3823362712872612,0.48838845316695456
0.38090063231375204,0.49061121804993696
0.37796276253023786,0.4811566266117441
0.3744099121973561,0.472524358413833
0.3773807538844401,0.47369356926619927
0.3804797979699277,0.4706636566579157
0.3791575028356406,0.4735164207163078
0.3740965759722162,0.46534562447647715
0.3733374419912013,0.4627250020040303
0.37452691641740754,0.46440228674431744
0.38137487586580276,0.47121202836076115
0.37593019539841066,0.465047129018164
0.3714217035881861,0.4607443348599079
0.3718148809848775,0.45727702891144834
0.3698743907286522,0.45072955136603515
0.36634614565708823,0.4507500938156611
0.3624499047569978,0.4497085549958366
0.3605695310814049,0.44713796767951947
0.36092760468646184,0.4478596080449642
0.3603717382968977,0.4476424996303498
0.3543477914624631,0.44109990041552616
0.34903512174334056,0.43490746382647305
0.3457570582698951,0.43083880317918777
0.34560493523042113,0.43156637066135756
0.34313229954697433,0.4281826754458392
0.3393107375629655,0.41968953918859947
0.33713631918721554,0.41702003890845624
0.331510700455847,0.4086566325166367
0.32750756489847765,0.40279976041618654
0.33310744579130735,0.4084830565674074
0.3337290070648137,0.40792074292219094
0.33558947321126376,0.4081196666058236
0.33814118330436344,0.41084255544242115
0.3295129932338381,0.40424612560025774
0.32776613109332287,0.4025908011716315
0.3286622315430538,0.4047247256182719
0.3263993464023198,0.40556033764553956
0.31840934711523383,0.39987357039900495
0.3216949708731288,0.39858504163638625
0.32256860648209273,0.40265163846141916
0.3232102157659049,0.40337897746097234
0.326425447011989,0.4038277530847562
